Year,January,February,March,April,May,June,July,August,September,October,November,December
2001,-13.2,-13.7,-12.0,1.0,7.0,16.4,15.7,14.2,8.8,-5.2,-17.4,-23.5
2002,-15.5,-18.1,-12.0,-4.7,10.3,14.7,16.7,12.6,8.7,-0.1,-7.1,-14.9
2003,-19.6,-11.5,-12.8,0.8,8.6,16.0,16.2,13.5,5.6,0.3,-12.6,-22.9
2004,-26.5,-17.0,-14.0,1.7,11.4,19.5,18.1,16.9,3.9,-1.2,-13.9,-19.7
2005,-22.7,-19.1,-6.5,0.4,13.3,16.4,16.9,14.3,8.2,-2.3,-20.6,-17.3
2006,-30.0,-14.5,-15.8,-1.1,10.1,14.7,16.5,12.7,9.9,0.0,-23.3,-18.9
2007,-21.5,-21.4,-21.3,3.3,10.7,16.6,18.1,16.1,8.5,-5.9,-11.3,-19.6
2008,-22.7,-20.5,-9.1,-0.9,10.0,15.7,16.1,12.8,8.4,-9.0,-18.5,-22.1
2009,-24.0,-18.6,-14.2,-0.5,11.1,16.0,19.3,12.9,9.2,-0.7,-18.1,-19.8
2010,-25.3,-16.1,-11.6,4.4,12.3,15.4,17.1,15.5,8.4,-2.4,-11.1,-27.2
2011,-21.0,-21.3,-13.7,-0.1,11.3,15.8,16.5,14.1,9.4,-1.7,-22.2,-15.5
2012,-32.6,-14.4,-15.2,2.8,8.8,16.4,16.0,13.5,7.5,-5.2,,-27.3
2013,-19.2,-18.5,-13.7,-7.7,6.8,19.3,17.9,15.2,6.6,2.3,-14.3,-20.2
2014,-13.5,-20.1,-10.0,1.1,10.7,14.7,16.1,15.0,8.0,-3.7,-11.7,-13.2
2015,-21.3,-17.1,-9.1,2.7,12.9,15.4,16.8,12.5,5.8,-0.1,-12.6,-18.9
2016,-15.7,-13.3,-6.7,5.8,11.9,15.5,17.4,16.2,7.9,-2.9,-15.6,-22.3
2017,-22.9,-17.3,-19.3,2.3,9.9,17.1,18.7,14.9,8.9,-0.4,-15.0,-12.7
2018,-21.0,-16.2,-9.0,-0.3,9.8,14.9,17.7,13.0,9.0,1.5,-11.2,-17.6
2019,-21.5,-14.6,-2.4,2.8,12.1,17.5,18.9,,,,,
