Year,January,February,March,April,May,June,July,August,September,October,November,December
1919,-27.0,-13.1,-10.0,1.8,11.2,15.8,21.4,17.0,9.8,4.1,-10.0,-15.6
1920,-18.2,-22.5,-7.4,5.0,9.6,18.8,22.2,16.9,7.8,3.6,,
1921,-19.7,-17.5,-5.6,2.8,8.9,16.0,21.9,17.7,11.0,4.1,,-14.5
1922,-27.8,-18.8,-7.4,1.5,9.7,17.7,22.7,17.4,8.0,1.2,-10.4,-17.3
1923,-19.9,-23.9,-7.7,4.8,10.7,18.1,20.3,17.9,11.6,3.5,-10.3,-14.8
1924,-15.5,-25.9,-14.5,3.6,12.9,15.4,22.7,17.3,10.9,1.3,-5.0,-11.4
1925,-16.0,-18.8,-10.8,2.6,9.0,15.8,17.2,17.3,,,,
1926,,,,,,,,,,,,
1927,-20.1,-19.7,-14.2,2.2,12.4,15.9,19.2,16.2,10.7,1.4,-7.8,-18.2
1928,-19.0,-20.5,-15.5,3.3,11.2,18.2,18.9,16.6,9.4,2.7,-7.9,-25.0
1929,-22.4,-31.5,-11.3,4.9,9.0,17.3,18.7,16.2,9.8,3.2,-7.0,-24.0
1930,-22.6,-14.9,-5.6,-0.5,10.2,17.6,18.9,16.4,7.7,0.7,-11.3,-19.3
1931,-21.0,-26.7,-11.1,2.1,8.1,19.2,18.1,19.1,9.5,3.7,-11.3,-19.4
1932,-13.3,-22.0,-8.5,4.2,8.8,15.9,22.5,15.1,10.9,5.0,-4.6,-12.2
1933,-27.9,-26.8,-16.2,3.7,9.7,16.4,20.1,18.7,8.0,-1.0,-7.0,-17.0
1934,-17.0,-19.9,-14.8,-1.6,10.7,16.8,16.8,16.3,6.7,-0.4,-7.9,-14.7
1935,-21.1,-17.7,-6.4,0.0,9.9,18.0,20.6,16.2,10.1,1.7,-12.4,-26.2
1936,-21.4,-22.4,-11.9,-2.3,8.3,14.3,18.8,14.8,9.6,4.2,-4.4,-12.4
1937,-22.6,-18.0,-16.1,-2.9,10.7,16.7,18.6,15.0,9.2,3.0,-9.6,-21.7
1938,-26.0,-15.1,-10.1,5.5,10.2,15.9,19.4,15.9,7.0,2.8,-3.4,-23.8
1939,-18.4,-17.3,-10.0,5.1,9.9,18.5,19.9,17.8,10.9,-0.4,-11.8,-14.1
1940,-29.4,-16.7,-6.6,5.5,10.7,17.8,18.4,17.7,8.7,1.4,-10.8,-15.4
1941,-20.4,-22.9,-6.7,2.2,9.9,18.7,18.4,16.6,9.0,1.6,-10.1,-19.3
1942,-23.7,-23.2,-6.5,3.2,8.4,17.5,20.1,17.3,11.4,0.9,-6.7,-16.0
1943,-25.2,-18.0,-11.5,3.2,12.9,17.9,20.2,19.0,10.3,1.9,-10.4,-12.6
1944,-26.2,-17.8,-6.2,5.2,10.6,18.4,19.1,17.0,10.0,1.2,-13.0,-21.1
1945,-25.9,-30.0,-12.8,5.9,14.7,18.4,20.1,16.9,11.6,3.7,-5.0,-19.6
1946,-13.4,-9.6,-12.4,4.8,10.3,16.6,21.0,17.5,8.1,2.9,-7.0,-23.6
1947,-27.7,-21.9,-9.9,6.0,12.2,16.5,19.1,16.4,9.2,1.0,-12.8,-26.4
1948,-16.4,-18.9,-5.0,5.3,8.8,15.3,20.7,16.4,9.9,1.4,-13.4,-14.6
1949,-15.0,-11.0,-8.7,6.2,10.1,15.5,19.4,16.6,8.5,2.9,-9.2,-26.2
1950,-21.5,-22.6,-5.9,-0.9,10.8,17.9,21.2,18.6,11.2,0.9,-15.8,-14.4
1951,-25.3,-20.6,-6.1,3.8,12.6,18.7,20.4,14.1,10.3,1.4,-6.2,-10.8
1952,-14.0,-24.2,-10.8,1.0,11.5,18.2,18.8,16.7,11.2,1.9,-16.8,-16.4
1953,-18.6,-22.5,-3.1,4.9,12.1,19.4,21.7,15.7,12.2,3.0,-14.6,-14.5
1954,-20.6,-20.7,-11.7,1.1,7.6,17.9,17.6,18.5,11.0,3.6,-8.4,-25.3
1955,-23.5,-14.3,-11.4,2.0,11.6,17.8,19.4,18.9,9.0,1.0,-7.1,-14.9
1956,-23.9,-23.5,-10.2,3.5,12.3,15.2,20.2,17.8,9.4,4.6,-12.6,-24.8
1957,-20.5,-19.4,-15.2,2.1,9.4,18.7,18.4,16.1,9.1,2.4,-8.4,-10.2
1958,-21.5,-16.3,-14.2,0.6,10.3,13.9,19.9,17.7,9.2,3.0,-4.0,-11.0
1959,-18.8,-12.6,-2.6,4.3,10.2,18.1,19.8,17.6,12.1,2.8,-16.0,-20.9
1960,-20.0,-9.4,-11.7,3.7,9.7,17.4,18.4,15.8,10.2,0.4,-10.4,-18.2
1961,-16.3,-11.2,-4.7,5.9,10.9,14.9,19.6,16.5,10.5,-1.8,-11.0,-15.5
1962,-20.6,-12.5,-3.3,4.3,12.4,17.0,20.5,18.6,10.8,1.6,-12.0,-12.0
1963,-20.3,-12.3,-3.6,0.5,10.3,15.8,18.9,17.5,8.1,1.7,-3.4,-11.9
1964,-14.3,-26.3,-6.7,0.1,11.9,17.9,20.8,18.4,10.8,-1.6,-4.6,-10.2
1965,-14.8,-15.0,-4.8,2.4,14.4,20.3,21.0,17.5,10.1,2.6,-10.4,-19.3
1966,-19.9,-14.2,-7.6,0.3,9.7,18.4,18.7,17.6,13.6,2.9,-8.4,-28.6
1967,-23.4,-17.2,-4.5,5.4,12.4,16.0,19.8,14.7,8.0,3.0,-16.3,-21.0
1968,-22.6,-21.0,-2.5,4.4,12.2,16.7,20.4,16.7,6.9,-0.8,-9.5,-18.1
1969,-28.8,-24.9,-8.8,2.8,8.9,18.3,23.1,15.6,9.2,2.7,-8.3,-18.8
1970,-17.7,-16.7,-13.7,3.8,9.3,16.7,19.2,16.1,9.3,0.4,-10.0,-18.2
1971,-12.4,-22.7,-13.1,4.4,10.4,16.3,17.6,16.0,9.7,2.7,-3.9,-18.4
1972,-19.8,-13.1,-5.0,6.5,10.0,18.5,17.5,15.8,7.8,1.9,-6.3,-14.2
1973,-17.1,-17.6,-5.5,3.2,9.1,17.8,19.2,16.7,11.5,0.7,-4.1,-13.6
1974,-19.4,-19.2,-8.9,6.1,11.3,16.3,20.2,19.2,9.2,-1.0,-9.2,-20.8
1975,-14.0,-16.2,-2.9,2.4,10.6,16.3,20.0,16.4,10.8,1.7,-8.2,-21.3
1976,-20.3,-16.4,-9.5,2.8,10.1,19.4,19.7,14.9,10.1,-1.0,-10.9,-17.0
1977,-26.7,-17.8,-3.6,3.8,10.1,18.4,19.4,16.0,11.5,3.8,-3.5,-11.4
1978,-11.9,-16.7,-6.5,5.2,9.7,18.9,21.1,15.8,10.7,1.6,-5.2,-14.5
1979,-22.6,-11.7,-5.0,0.9,10.8,20.5,20.7,16.2,10.7,3.5,-7.6,-12.2
1980,-19.7,-21.1,-12.1,0.9,9.7,18.1,19.3,17.4,10.0,1.1,-4.3,-14.0
