,Year,January,February,March,April,May,June,July,August,September,October,November,December
11,1970,-31.82783682691577,-30.085882586912,-27.33719043448645,-17.62297619047619,-5.716263440860216,1.815555555555556,6.861155913978496,7.188306451612903,-3.504722222222222,-14.21854838709677,-19.5453795721187,-30.78877074314574
12,1971,-33.75018616533092,-33.42647710314377,-29.77648228218994,-21.05041161616162,-5.53494623655914,3.215972222222222,7.309677419354839,4.183736559139786,0.8218055555555553,-9.240322580645165,-22.25652777777777,-29.56367026437061
13,1972,-29.06080448765658,-33.30472047946686,-29.70655680224404,-19.48868686868688,-7.57782258064516,2.513888888888888,5.772580645161289,7.541801075268816,-2.865416666666667,-7.69798387096774,-22.04027777777777,-23.54860835243188
14,1973,-26.10356337727398,-27.97906271566597,-29.79698672587348,-15.58666666666667,-2.577688172043011,5.448611111111112,7.909139784946236,5.757258064516128,2.285,-9.073521505376345,-22.59430555555556,-25.55322580645161
15,1974,-26.81893173917487,-34.086673240955,-29.06995572422517,-21.62236111111111,-6.053225806451613,-0.1984722222222221,5.671505376344085,4.810483870967743,-1.075833333333333,-16.98548387096774,-26.77858660130719,-35.18483150691979
16,1975,-36.19756308979454,-29.16848253968254,-24.98521505376344,-18.27972222222222,-4.884408602150538,4.178333333333333,7.332392473118282,4.679032258064517,-1.770138888888889,-11.69126344086022,-29.54486111111111,-30.38459869281046
17,1976,-34.25212603720565,-34.44644233334461,-31.14597358578775,-12.94569444444444,-4.448790322580645,0.8404166666666666,6.510887096774193,6.566801075268817,2.357916666666667,-11.10940860215054,-17.02027777777778,-34.95228334224977
18,1977,-29.90165543127268,-28.13574314574314,-33.52548273761457,-19.8625,-4.957930107526882,2.736388888888889,5.521908602150538,5.195430107526883,0.6073611111111108,-9.64825268817204,-26.52236111111112,-29.57492301293844
19,1978,-27.37355072463768,-27.56269841269842,-26.4858870967742,-19.02513888888889,-10.12056451612903,0.5612499999999999,5.467473118279569,2.067876344086021,0.0344444444444444,-16.22217741935484,-18.80087121212121,-28.87516129032258
20,1979,-26.03961388074291,-35.7805143269429,-32.98919187871503,-19.17402777777778,-5.288172043010752,0.7173611111111112,8.765591397849464,8.685025300442758,1.137003968253968,-7.218303289057557,-12.82078703703704,-31.10940860215054
21,1980,-32.74436229093487,-26.38584770114944,-30.01317204301075,-19.87291666666667,-5.538172043010752,3.293333333333334,4.814919354838711,4.978225806451612,-5.123472222222222,-6.245564516129032,-22.68152777777778,-34.65784017479162
22,1981,-16.26612903225806,-29.63935147379109,-25.16182795698925,-15.05680555555555,-1.985618279569892,1.689166666666667,7.886962365591398,5.618817204301076,0.1261111111111111,-7.411021505376344,-23.40458333333333,-25.8216280972417
23,1982,-38.85886443637764,-28.09461374223602,-28.77978878648233,-17.86416666666666,-6.801344086021506,2.307222222222222,8.315725806451614,4.759408602150537,2.511111111111112,-13.18319892473118,-32.23583333333333,-31.54699542509851
24,1983,-35.45775820091576,-33.90864369026963,-31.49521972884525,-18.2425,-11.10161290322581,3.074722222222222,6.981451612903227,6.118817204301076,-3.004861111111111,-14.98440860215054,-17.77560606060606,-26.8135226741468
25,1984,-32.55155037400655,-38.08682309168004,-30.97889784946237,-17.29708333333333,-4.682795698924731,5.905277777777779,6.666801075268817,5.05510752688172,-0.5104166666666666,-11.25887096774194,-29.12138888888889,-34.21033733527368
26,1985,-26.78131720430108,-34.52881299308461,-23.62096774193549,-23.65666666666666,-3.561424731182796,2.367777777777777,4.589112903225806,3.458333333333334,0.1838888888888888,-13.01935483870968,-24.06458333333333,-24.58010752688172
27,1986,-34.84079497354498,-27.03276596591813,-31.54166666666667,-23.45416666666667,-7.879032258064514,1.957638888888889,6.337768817204301,5.445833333333334,0.5116666666666665,-9.66989247311828,-29.72777777777777,-26.25581179456355
28,1987,-27.44856060606061,-31.66108134920634,-28.00699577867612,-22.17513888888889,-7.395698924731183,1.904444444444445,6.022177419354839,5.226747311827957,0.6429166666666668,-5.694489247311828,-25.04013888888888,-25.2747311827957
29,1988,-30.76405529953917,-29.43412668665667,-24.47043010752688,-16.00333333333334,-6.223655913978495,4.145833333333333,7.946505376344086,6.519758064516129,-0.2879166666666666,-12.7119623655914,-32.0626496948894,-23.98373655913978
30,1989,-36.25046590190328,-16.44002976190476,-28.8872311827957,-14.64055555555555,-6.816532258064515,4.303055555555556,8.821236559139786,9.598118279569896,1.765555555555556,-11.47983870967742,-32.485,-30.75
31,1990,-36.3606711219749,-37.1806262825053,-21.23790322580646,-12.07041666666666,-4.490860215053765,3.081388888888889,7.917204301075269,3.713037634408602,-1.67875,-10.59422043010753,-31.24888888888888,-33.01730728948471
