Year,January,February,March,April,May,June,July,August,September,October,November,December
1931,-12.5,-11.5,-7.7,1.1,9.5,11.5,18.1,15.7,6.9,2.1,-2.0,-7.7
1932,-6.0,-11.9,-7.8,2.0,7.9,12.2,18.4,16.2,9.6,2.6,-2.3,-2.3
1933,-10.8,-11.7,-6.6,0.0,5.1,14.7,17.9,13.0,8.7,3.1,-4.8,-9.7
1934,-5.5,-9.4,-5.3,0.9,11.3,13.0,17.8,14.9,12.2,4.7,-0.8,-6.9
1935,-10.9,-8.3,-4.7,0.5,5.3,13.9,14.6,13.6,8.2,4.7,-1.4,-5.0
1936,-9.3,-16.0,-4.5,1.6,10.0,17.2,18.1,15.6,9.5,0.8,0.4,-1.4
1937,-8.8,-11.1,-4.7,4.2,9.3,16.4,16.3,17.0,9.9,4.9,0.6,-10.7
1938,-9.4,-4.6,-2.4,0.6,7.3,13.7,19.9,17.0,12.4,4.8,1.9,-5.7
1939,-11.0,-6.9,-4.4,-1.2,6.3,14.4,16.4,17.0,6.8,0.7,-0.2,-8.2
1940,-16.8,-16.3,-11.2,-0.4,9.5,13.5,16.9,15.2,10.3,2.8,-1.5,-9.0
1941,-17.1,-12.0,-10.2,-2.1,4.4,10.7,19.5,14.5,6.7,-1.0,-5.6,-16.2
1942,-18.8,-13.9,-12.9,0.1,6.5,12.6,15.2,14.6,8.8,3.4,-5.0,-8.0
1943,-14.3,-5.4,-2.4,2.0,8.7,15.3,17.0,14.2,9.1,4.2,-0.6,-4.2
1944,-7.0,-8.1,-5.1,-1.7,7.0,11.8,16.0,14.6,9.5,4.6,-1.8,-5.2
1945,-9.8,-8.1,-7.5,0.8,6.0,12.1,16.4,17.1,8.4,0.4,-3.5,-13.7
1946,-9.6,-13.7,-7.7,1.1,7.8,15.2,17.3,14.8,10.5,0.8,-3.9,-3.0
1947,-10.8,-17.1,-10.5,1.5,8.1,16.4,16.8,15.2,11.8,2.7,-2.6,-8.0
1948,-12.0,-10.5,-5.1,3.7,11.0,16.3,14.9,13.3,10.0,3.7,-1.1,-4.4
1949,-5.1,-5.3,-5.1,3.0,11.0,11.7,14.6,13.1,11.2,3.0,-1.4,-5.0
1950,-15.4,-8.9,-4.3,5.0,8.3,13.6,13.9,14.5,10.2,4.7,-1.3,-5.4
1951,-12.0,-9.7,-7.5,3.3,4.9,13.0,14.6,17.3,10.1,5.0,-4.0,-3.8
1952,-5.5,-6.6,-10.1,1.8,4.9,13.3,16.2,13.1,7.5,-0.1,-3.2,-6.5
1953,-10.7,-15.9,-3.0,3.4,7.7,16.7,14.9,15.0,7.1,3.9,-0.5,-3.0
1954,-9.4,-13.4,-2.8,0.4,9.0,13.5,18.2,14.6,10.0,2.9,-2.7,-2.3
1955,-10.8,-14.1,-9.9,-2.3,4.9,11.1,16.0,16.6,11.3,3.4,-6.1,-19.0
1956,-12.2,-17.2,-5.4,-2.5,8.1,15.8,13.6,12.1,7.1,1.6,-8.2,-5.4
1957,-6.0,-5.9,-10.7,0.8,8.0,11.4,18.0,15.1,8.8,3.6,-2.0,-5.8
