Year,Month,Pv,Klo,TZ,Precipitation (mm), Temperature (degC)
1971,12,1,00:00,UTC,19,-9.4
1972,1,1,00:00,UTC,3.8,-8.6
1972,2,1,00:00,UTC,8.4,-11.4
1972,3,1,00:00,UTC,30.9,-5.5
1972,4,1,00:00,UTC,23.9,-2.4
1972,5,1,00:00,UTC,34.1,3.4
1972,6,1,00:00,UTC,30.1,14.3
1972,7,1,00:00,UTC,68.9,17.5
1972,8,1,00:00,UTC,16.7,13.4
1972,9,1,00:00,UTC,60.9,5.9
1972,10,1,00:00,UTC,38.8,0
1972,11,1,00:00,UTC,16.4,-10.2
1972,12,1,00:00,UTC,23.5,-3.2
1973,1,1,00:00,UTC,30.1,-7.8
1973,2,1,00:00,UTC,9.5,-12.1
1973,3,1,00:00,UTC,16.6,-6.2
1973,4,1,00:00,UTC,23.2,-1.5
1973,5,1,00:00,UTC,10.4,4.5
1973,6,1,00:00,UTC,71,12.7
1973,7,1,00:00,UTC,19.7,17.8
1973,8,1,00:00,UTC,33.3,10.7
1973,9,1,00:00,UTC,21.8,3.2
1973,10,1,00:00,UTC,15.9,-4.4
1973,11,1,00:00,UTC,60.8,-10.7
1973,12,1,00:00,UTC,18.6,-17
1974,1,1,00:00,UTC,11.8,-10.1
1974,2,1,00:00,UTC,42.4,-8
1974,3,1,00:00,UTC,2.7,-3.7
1974,4,1,00:00,UTC,8.7,-0.9
1974,5,1,00:00,UTC,8,3.5
1974,6,1,00:00,UTC,79.8,12.3
1974,7,1,00:00,UTC,82.7,15.4
1974,8,1,00:00,UTC,126.2,12
1974,9,1,00:00,UTC,69.7,9
1974,10,1,00:00,UTC,15.5,-0.6
1974,11,1,00:00,UTC,16.6,-6.5
1974,12,1,00:00,UTC,22.2,-5
1975,1,1,00:00,UTC,25.6,-12.6
1975,2,1,00:00,UTC,14.1,-9.3
1975,3,1,00:00,UTC,11.1,-2.9
1975,4,1,00:00,UTC,7.4,-1.8
1975,5,1,00:00,UTC,52.2,5.5
1975,6,1,00:00,UTC,42.2,8.6
1975,7,1,00:00,UTC,82.7,11.6
1975,8,1,00:00,UTC,62.3,9.6
1975,9,1,00:00,UTC,45.2,7.3
1975,10,1,00:00,UTC,46.5,-0.4
1975,11,1,00:00,UTC,12.5,-4.7
1975,12,1,00:00,UTC,34.3,-12
1976,1,1,00:00,UTC,18.3,-19
1976,2,1,00:00,UTC,11.9,-10.7
1976,3,1,00:00,UTC,8.6,-8.9
1976,4,1,00:00,UTC,6.2,-1.5
1976,5,1,00:00,UTC,6,6.7
1976,6,1,00:00,UTC,44.3,8.6
1976,7,1,00:00,UTC,69.3,13.2
1976,8,1,00:00,UTC,42,11.5
1976,9,1,00:00,UTC,43.8,3.7
1976,10,1,00:00,UTC,15.7,-2.7
1976,11,1,00:00,UTC,32,-9.5
1976,12,1,00:00,UTC,8.8,-12.3
1977,1,1,00:00,UTC,39.9,-14.3
1977,2,1,00:00,UTC,12.8,-13
1977,3,1,00:00,UTC,27.7,-9.2
1977,4,1,00:00,UTC,28.8,-3.8
1977,5,1,00:00,UTC,17.7,3
1977,6,1,00:00,UTC,88.1,9
1977,7,1,00:00,UTC,70,13.3
1977,8,1,00:00,UTC,14.8,10.8
1977,9,1,00:00,UTC,42,4.6
1977,10,1,00:00,UTC,37.5,-2.3
1977,11,1,00:00,UTC,27,-4.9
1977,12,1,00:00,UTC,11.2,-10.5
1978,1,1,00:00,UTC,20.4,-15.7
1978,2,1,00:00,UTC,30.2,-14.1
1978,3,1,00:00,UTC,11.7,-8.3
1978,4,1,00:00,UTC,21.1,-3.6
1978,5,1,00:00,UTC,4.6,4.9
1978,6,1,00:00,UTC,5.2,10.8
1978,7,1,00:00,UTC,57.3,12.2
1978,8,1,00:00,UTC,52.9,9.8
1978,9,1,00:00,UTC,34.8,5.3
1978,10,1,00:00,UTC,35,-1.5
1978,11,1,00:00,UTC,15.9,-7.7
1978,12,1,00:00,UTC,15.4,-17.8
1979,1,1,00:00,UTC,16.3,-18
1979,2,1,00:00,UTC,26.5,-14.3
1979,3,1,00:00,UTC,8.9,-7.2
1979,4,1,00:00,UTC,6.9,-3.4
1979,5,1,00:00,UTC,38.7,4.6
1979,6,1,00:00,UTC,22.1,11.8
1979,7,1,00:00,UTC,16.2,15
1979,8,1,00:00,UTC,59.9,12.2
1979,9,1,00:00,UTC,61.4,6.7
1979,10,1,00:00,UTC,27.8,-3.1
1979,11,1,00:00,UTC,28,-6.3
1979,12,1,00:00,UTC,25.3,-9.5
1980,1,1,00:00,UTC,9.5,-15.5
1980,2,1,00:00,UTC,4.9,-15.8
1980,3,1,00:00,UTC,16.2,-10.4
1980,4,1,00:00,UTC,12.8,-0.1
1980,5,1,00:00,UTC,32.3,3.5
1980,6,1,00:00,UTC,44.4,13.9
1980,7,1,00:00,UTC,23.3,13.4
1980,8,1,00:00,UTC,27.5,11.2
1980,9,1,00:00,UTC,31.9,6.4
1980,10,1,00:00,UTC,30,-1.9
1980,11,1,00:00,UTC,44.7,-12.2
1980,12,1,00:00,UTC,33.9,-14.2
1981,1,1,00:00,UTC,29.7,-14.3
1981,2,1,00:00,UTC,9,-13.9
1981,3,1,00:00,UTC,30.2,-14.6
1981,4,1,00:00,UTC,15,-3.1
1981,5,1,00:00,UTC,14.7,4.4
1981,6,1,00:00,UTC,75.2,7.3
1981,7,1,00:00,UTC,106.1,14.1
1981,8,1,00:00,UTC,64.4,10.1
1981,9,1,00:00,UTC,34.6,5.8
1981,10,1,00:00,UTC,44.7,0.9
1981,11,1,00:00,UTC,25,-6.6
1981,12,1,00:00,UTC,14.5,-19.6
1982,1,1,00:00,UTC,9.3,-16.9
1982,2,1,00:00,UTC,5.9,-8.5
1982,3,1,00:00,UTC,14.8,-6.8
1982,4,1,00:00,UTC,40,-1.3
1982,5,1,00:00,UTC,46.9,3.9
1982,6,1,00:00,UTC,24.8,6.5
1982,7,1,00:00,UTC,73.8,14.7
1982,8,1,00:00,UTC,101.3,10.5
1982,9,1,00:00,UTC,48.9,5.5
1982,10,1,00:00,UTC,18.8,-0.6
1982,11,1,00:00,UTC,26.3,-4.8
1982,12,1,00:00,UTC,17.5,-8.5
1983,1,1,00:00,UTC,23.7,-10
1983,2,1,00:00,UTC,16.7,-11
1983,3,1,00:00,UTC,29.3,-6.4
1983,4,1,00:00,UTC,22.3,0.5
1983,5,1,00:00,UTC,39.9,5.5
1983,6,1,00:00,UTC,54.3,10.7
1983,7,1,00:00,UTC,50.6,14.1
1983,8,1,00:00,UTC,20.4,10.2
1983,9,1,00:00,UTC,24.5,8
1983,10,1,00:00,UTC,52.9,0
1983,11,1,00:00,UTC,35.3,-14.3
1983,12,1,00:00,UTC,23.8,-16.9
1984,1,1,00:00,UTC,25.5,-14.2
1984,2,1,00:00,UTC,8.2,-6
1984,3,1,00:00,UTC,23.3,-8.9
1984,4,1,00:00,UTC,23.1,-0.8
1984,5,1,00:00,UTC,34.7,8.5
1984,6,1,00:00,UTC,54.4,11.4
1984,7,1,00:00,UTC,91.2,11.8
1984,8,1,00:00,UTC,53.3,10.4
